,amountUSD,round_start_time,round_end_time,chain_id,matching_funds_available,has_min_donation_threshold,round_id,uniqueContributors,matching_cap_amount,votes,round_name,min_donation_threshold_amount,has_matching_cap
0,362388,2023-08-15T12:00:00,2023-08-29T12:00:00,10,300000.0,True,0x8de918F0163b2021839A8D84954dD7E8e151326D,39706,5.0,202232,Web3 Open Source Software,0.96,True
1,124996,2023-08-15T12:00:00,2023-08-29T12:00:00,424,106.9,True,0x222EA76664ED77D18d4416d2B2E77937b76f0a35,11955,10.0,68476,Ethereum Infrastructure,0.96,True
2,104723,2023-08-15T12:00:00,2023-08-29T12:00:00,10,250000.0,True,0x2871742B184633f8DC8546c6301cbC209945033e,12421,6.0,29180,Web3 Community and Education ,1.0,True
3,34488,2023-08-15T12:00:00,2023-08-29T12:00:00,10,250000.0,True,0xb6Be0eCAfDb66DD848B0480db40056Ff94A9465d,5631,10.0,14089,Climate Round,0.96,True
4,18523,2023-08-15T12:00:00,2023-08-29T12:00:00,10,25000.0,True,0x9331FDe4Db7b9d9d1498C09d30149929f24cF9D5,3829,4.0,6528,Web3 Social,1.0,True
5,11651,2023-08-15T12:00:00,2023-08-29T23:59:00,10,25000.0,True,0x5B95acf46c73Fd116F0fEDADcBEDF453530e35d0,720,10.0,1348,Zuzalu Continuous Innovation,1.0,True
6,6804,2023-08-15T12:00:00,2023-08-29T23:59:00,10,25000.0,True,0x30C381033aA2830cEB0aA372C2e4D28F004b3DB9,552,10.0,997,Global Chinese Community for Public Goods - GR18,5.0,True
7,6769,2023-08-15,2023-08-29T23:59:00,10,25000.0,False,0x10be322DE44389DeD49c0b2b73d8c3A1E3B6D871,760,25.0,1549,ReFi DAO Local Node ,0.0,True
8,5790,2023-08-15T12:00:00,2023-08-29T23:59:00,10,25000.0,True,0xc5FdF5cFf79e92FAc1d6Efa725c319248D279200,1836,20.0,2606,Token Engineering,1.0,True
9,5007,2023-08-18T12:01:00,2023-08-29T12:00:00,1,100000.0,False,0x69e423181f1D3E6BEbF8aB88030C36DA73785f26,832,50.0,1684,Arbitrum Domain Round,0.0,True
10,1952,2023-08-15T12:00:00,2023-08-29T12:00:00,10,25000.0,True,0xf591E42dfDfE8E62C2085CCaAdFE05F84D89D0c6,610,10.0,970,Meta Pool LatAm GG18,0.96,True
